N,M,id,E,Time[s]
16,48,1,0,0.0108739
16,48,2,0,0.0332238
16,48,3,0,0.015737
16,48,4,0,0.0183654
16,48,5,0,0.0110195
16,48,6,0,0.0104979
16,48,7,0,0.0289948
16,48,8,0,0.0156719
16,48,9,0,0.0115432
16,48,10,0,0.0132324
16,48,11,0,0.017708
16,48,12,0,0.02448
16,48,13,0,0.0108073
16,48,14,0,0.0106703
16,48,15,0,0.0103955
16,48,16,0,0.016245
16,48,17,0,0.0226521
16,48,18,0,0.0107229
16,48,19,0,0.0154377
16,48,20,0,0.0108043
16,48,21,0,0.0151451
16,48,22,0,0.0108239
16,48,23,0,0.0135615
16,48,24,0,0.0155802
16,48,25,0,0.0178179
16,48,26,0,0.0108916
16,48,27,0,0.0154276
16,48,28,0,0.0106307
16,48,29,0,0.0107264
16,48,30,0,0.0221282
16,48,31,0,0.0173637
16,48,32,0,0.0153245
16,48,33,0,0.0105109
16,48,34,0,0.0110417
16,48,35,0,0.0108593
16,48,36,0,0.0108275
16,48,37,0,0.0108775
16,48,38,0,0.0177681
16,48,39,0,0.0110431
16,48,40,0,0.0133856
16,48,41,0,0.0109485
16,48,42,0,0.0107626
16,48,43,0,0.0158193
16,48,44,0,0.0108621
16,48,45,0,0.017953
16,48,46,0,0.0111364
16,48,47,0,0.0179734
16,48,48,0,0.0154917
16,48,49,0,0.0161481
16,48,50,0,0.0107659
16,48,51,0,0.0156191
16,48,52,0,0.0107512
16,48,53,0,0.0278
16,48,54,0,0.0350385
16,48,55,0,0.0110241
16,48,56,0,0.0106683
16,48,57,0,0.0110578
16,48,58,0,0.0110584
16,48,59,0,0.0220334
16,48,60,0,0.0110634
16,48,61,0,0.0152727
16,48,62,0,0.0245624
16,48,63,0,0.0130276
16,48,64,0,0.0107148
16,48,65,0,0.015659
16,48,66,0,0.0226322
16,48,67,0,0.0110496
16,48,68,0,0.0128054
16,48,69,0,0.015418
16,48,70,0,0.0133936
16,48,71,0,0.0319299
16,48,72,0,0.0108527
16,48,73,0,0.0109172
16,48,74,0,0.0107541
16,48,75,0,0.0131798
16,48,76,0,0.0159499
16,48,77,0,0.0179917
16,48,78,0,0.0182221
16,48,79,23,0.000292252
16,48,80,0,0.0248505
16,48,81,0,0.0112079
16,48,82,0,0.0249437
16,48,83,0,0.0182797
16,48,84,0,0.0108712
16,48,85,0,0.0112263
16,48,86,0,0.0111007
16,48,87,0,0.0184653
16,48,88,0,0.0108779
16,48,89,0,0.0111254
16,48,90,0,0.0136983
16,48,91,0,0.0133664
16,48,92,0,0.0108298
16,48,93,0,0.0152325
16,48,94,0,0.0161858
16,48,95,0,0.0136081
16,48,96,0,0.0228365
16,48,97,0,0.0110587
16,48,98,0,0.0111736
16,48,99,0,0.013607
16,48,100,0,0.0104686
16,48,101,0,0.0109129
16,48,102,0,0.0131035
16,48,103,0,0.0153082
16,48,104,0,0.0131982
16,48,105,0,0.01297
16,48,106,0,0.0104052
16,48,107,0,0.0101925
16,48,108,0,0.0108035
16,48,109,0,0.0178787
16,48,110,0,0.0107583
16,48,111,0,0.0252772
16,48,112,0,0.0205135
16,48,113,0,0.010711
16,48,114,0,0.0106111
16,48,115,0,0.0249121
16,48,116,0,0.0128785
16,48,117,0,0.0155531
16,48,118,0,0.0107894
16,48,119,0,0.0203644
16,48,120,0,0.0153767
16,48,121,0,0.0105356
16,48,122,0,0.0102901
16,48,123,0,0.0198115
16,48,124,0,0.0154751
16,48,125,0,0.0176884
16,48,126,0,0.0153749
16,48,127,0,0.0177408
16,48,128,0,0.0107554
16,48,129,0,0.0105018
16,48,130,0,0.0114047
16,48,131,0,0.0105941
16,48,132,0,0.0151086
16,48,133,0,0.0216959
16,48,134,0,0.0113112
16,48,135,0,0.0106568
16,48,136,0,0.015519
16,48,137,0,0.0127869
16,48,138,0,0.010796
16,48,139,0,0.01068
16,48,140,0,0.010795
16,48,141,0,0.0128268
16,48,142,0,0.0107457
16,48,143,0,0.015178
16,48,144,0,0.0107457
16,48,145,0,0.0107398
16,48,146,0,0.013056
16,48,147,0,0.010965
16,48,148,0,0.0177973
16,48,149,0,0.0129531
16,48,150,0,0.0178989
16,48,151,0,0.0103313
16,48,152,0,0.0130566
16,48,153,0,0.0107867
16,48,154,0,0.0130965
16,48,155,0,0.0177141
16,48,156,0,0.020363
16,48,157,0,0.0107349
16,48,158,0,0.0150675
16,48,159,0,0.0106992
16,48,160,0,0.0106853
16,48,161,0,0.0345497
16,48,162,0,0.0286237
16,48,163,0,0.017259
16,48,164,0,0.019271
16,48,165,0,0.0106861
16,48,166,0,0.0109953
16,48,167,0,0.0103655
16,48,168,0,0.0107499
16,48,169,0,0.033095
16,48,170,0,0.0177819
16,48,171,0,0.0134278
16,48,172,0,0.0111031
16,48,173,0,0.0332272
16,48,174,0,0.0128124
16,48,175,0,0.0128751
16,48,176,0,0.013195
16,48,177,0,0.0106632
16,48,178,0,0.0153602
16,48,179,0,0.0107274
16,48,180,0,0.0105198
16,48,181,0,0.0292665
16,48,182,0,0.0244893
16,48,183,0,0.0228221
16,48,184,0,0.0226286
16,48,185,0,0.0103215
16,48,186,0,0.0102069
16,48,187,0,0.0154753
16,48,188,0,0.010258
16,48,189,0,0.0129625
16,48,190,0,0.0130783
16,48,191,0,0.0154177
16,48,192,0,0.031937
16,48,193,0,0.0150374
16,48,194,0,0.0103751
16,48,195,0,0.0134064
16,48,196,0,0.0197719
16,48,197,0,0.0105849
16,48,198,0,0.0147939
16,48,199,0,0.0102584
16,48,200,0,0.0105547
16,48,201,0,0.0102129
16,48,202,0,0.0151631
16,48,203,0,0.0108141
16,48,204,0,0.0106619
16,48,205,0,0.0109965
16,48,206,0,0.0267026
16,48,207,0,0.0291441
16,48,208,0,0.0106458
16,48,209,0,0.0104689
16,48,210,0,0.012698
16,48,211,0,0.0152946
16,48,212,0,0.0104256
16,48,213,0,0.0107235
16,48,214,0,0.0341513
16,48,215,0,0.0126981
16,48,216,0,0.0103481
16,48,217,0,0.0226578
16,48,218,0,0.0154297
16,48,219,0,0.01569
16,48,220,0,0.0205884
16,48,221,0,0.0171961
16,48,222,0,0.0107473
16,48,223,0,0.0108019
16,48,224,0,0.0229798
16,48,225,0,0.0252839
16,48,226,0,0.0108289
16,48,227,0,0.024243
16,48,228,0,0.0111236
16,48,229,0,0.0180825
16,48,230,0,0.0179427
16,48,231,0,0.0107882
16,48,232,0,0.0155666
16,48,233,0,0.0109869
16,48,234,0,0.0106854
16,48,235,0,0.0107059
16,48,236,0,0.0136679
16,48,237,0,0.0132857
16,48,238,0,0.0342082
16,48,239,0,0.0183266
16,48,240,0,0.010744
16,48,241,0,0.010877
16,48,242,0,0.0184927
16,48,243,0,0.0133136
16,48,244,0,0.0106894
16,48,245,0,0.0155478
16,48,246,0,0.0151247
16,48,247,0,0.0108949
16,48,248,0,0.0107734
16,48,249,0,0.0131706
16,48,250,0,0.0106202
16,48,251,0,0.0108224
16,48,252,9,0.000299646
16,48,253,0,0.0130589
16,48,254,0,0.0108104
16,48,255,3,0.000303093
16,48,256,0,0.0156467
16,48,257,0,0.0271921
16,48,258,0,0.0108045
16,48,259,0,0.01076
16,48,260,0,0.0105192
16,48,261,0,0.0132705
16,48,262,0,0.0134412
