N,M,id,E,sweeps
16,48,1,0,1
16,48,2,0,32
16,48,3,0,4
16,48,4,0,2
16,48,5,0,2
16,48,6,0,1
16,48,7,0,3
16,48,8,0,5
16,48,9,0,2
16,48,10,0,2
16,48,11,0,9
16,48,12,0,2
16,48,13,0,1
16,48,14,0,2
16,48,15,0,3
16,48,16,0,2
16,48,17,0,5
16,48,18,0,13
16,48,19,0,4
16,48,20,0,1
16,48,21,0,1
16,48,22,0,3
16,48,23,0,1
16,48,24,0,5
16,48,25,0,5
16,48,26,0,1
16,48,27,0,2
16,48,28,0,2
16,48,29,0,2
16,48,30,0,3
16,48,31,0,3
16,48,32,0,2
16,48,33,0,2
16,48,34,0,3
16,48,35,0,1
16,48,36,0,2
16,48,37,0,2
16,48,38,0,3
16,48,39,0,2
16,48,40,0,2
16,48,41,0,1
16,48,42,0,1
16,48,43,0,1
16,48,44,0,3
16,48,45,0,2
16,48,46,0,2
16,48,47,0,2
16,48,48,0,3
16,48,49,0,3
16,48,50,0,1
16,48,51,0,2
16,48,52,0,3
16,48,53,0,3
16,48,54,0,53
16,48,55,0,3
16,48,56,0,2
16,48,57,0,75
16,48,58,0,2
16,48,59,0,3
16,48,60,0,2
16,48,61,0,2
16,48,62,0,4
16,48,63,0,3
16,48,64,0,1
16,48,65,0,2
16,48,66,0,2
16,48,67,0,3
16,48,68,0,2
16,48,69,0,3
16,48,70,0,3
16,48,71,0,2
16,48,72,0,1
16,48,73,0,8
16,48,74,0,3
16,48,75,0,3
16,48,76,0,2
16,48,77,0,2
16,48,78,0,8
16,48,79,0,1
16,48,80,0,15
16,48,81,0,9
16,48,82,0,2
16,48,83,0,7
16,48,84,0,2
16,48,85,0,1
16,48,86,0,27
16,48,87,0,2
16,48,88,0,3
16,48,89,0,1
16,48,90,0,2
16,48,91,0,2
16,48,92,0,0
16,48,93,0,1
16,48,94,0,14
16,48,95,0,2
16,48,96,0,1
16,48,97,0,2
16,48,98,0,4
16,48,99,0,2
16,48,100,0,1
16,48,101,0,2
16,48,102,0,3
16,48,103,0,1
16,48,104,0,8
16,48,105,0,3
16,48,106,0,2
16,48,107,0,2
16,48,108,0,1
16,48,109,0,7
16,48,110,0,5
16,48,111,0,6
16,48,112,0,29
16,48,113,0,5
16,48,114,0,1
16,48,115,0,6
16,48,116,0,1
16,48,117,0,1
16,48,118,0,1
16,48,119,0,11
16,48,120,0,2
16,48,121,0,2
16,48,122,0,1
16,48,123,0,1
16,48,124,0,2
16,48,125,0,1
16,48,126,0,2
16,48,127,0,2
16,48,128,0,1
16,48,129,0,45
16,48,130,0,1
16,48,131,0,1
16,48,132,0,1
16,48,133,0,2
16,48,134,0,2
16,48,135,0,3
16,48,136,0,4
16,48,137,0,3
16,48,138,0,2
16,48,139,0,2
16,48,140,0,3
16,48,141,0,3
16,48,142,0,6
16,48,143,0,3
16,48,144,0,1
16,48,145,0,1
16,48,146,0,1
16,48,147,0,2
16,48,148,0,4
16,48,149,0,1
16,48,150,0,13
16,48,151,0,1
16,48,152,0,2
16,48,153,0,1
16,48,154,0,3
16,48,155,0,7
16,48,156,0,3
16,48,157,0,318
16,48,158,0,2
16,48,159,0,2
16,48,160,0,3
16,48,161,0,2
16,48,162,0,2
16,48,163,0,4
16,48,164,0,1
16,48,165,0,2
16,48,166,0,2
16,48,167,0,10
16,48,168,0,4
16,48,169,0,12
16,48,170,0,2
16,48,171,0,2
16,48,172,0,2
16,48,173,0,2
16,48,174,0,1
16,48,175,0,3
16,48,176,0,2
16,48,177,0,2
16,48,178,0,2
16,48,179,0,12
16,48,180,0,2
16,48,181,0,3
16,48,182,0,1
16,48,183,0,11
16,48,184,0,2
16,48,185,0,1
16,48,186,0,2
16,48,187,0,2
16,48,188,0,2
16,48,189,0,2
16,48,190,0,55
16,48,191,0,1
16,48,192,0,3
16,48,193,0,3
16,48,194,0,1
16,48,195,0,2
