N,M,id,E
16,128,1,0
16,128,2,1
16,128,3,1
16,128,4,0
16,128,5,0
16,128,6,0
16,128,7,0
16,128,8,0
16,128,9,2
16,128,10,0
16,128,11,0
16,128,12,0
16,128,13,0
16,128,14,0
16,128,15,0
16,128,16,0
16,128,17,0
16,128,18,1
16,128,19,0
16,128,20,0
16,128,21,1
16,128,22,0
16,128,23,0
16,128,24,0
16,128,25,1
16,128,26,0
16,128,27,0
16,128,28,0
16,128,29,0
16,128,30,0
16,128,31,0
16,128,32,0
16,128,33,0
16,128,34,1
16,128,35,0
16,128,36,0
16,128,37,0
16,128,38,0
16,128,39,0
16,128,40,0
16,128,41,0
16,128,42,0
16,128,43,0
16,128,44,0
16,128,45,0
16,128,46,0
16,128,47,0
16,128,48,0
16,128,49,0
16,128,50,1
16,128,51,0
16,128,52,0
16,128,53,1
16,128,54,0
16,128,55,0
16,128,56,0
16,128,57,0
16,128,58,0
16,128,59,0
16,128,60,0
16,128,61,0
16,128,62,0
16,128,63,0
16,128,64,0
16,128,65,0
16,128,66,0
16,128,67,0
16,128,68,0
16,128,69,0
16,128,70,1
16,128,71,1
16,128,72,0
16,128,73,0
16,128,74,0
16,128,75,0
16,128,76,0
16,128,77,0
16,128,78,0
16,128,79,0
16,128,80,1
16,128,81,0
16,128,82,1
16,128,83,1
16,128,84,0
16,128,85,0
16,128,86,0
16,128,87,0
16,128,88,0
16,128,89,1
16,128,90,0
16,128,91,1
16,128,92,0
16,128,93,0
16,128,94,0
16,128,95,0
16,128,96,1
16,128,97,0
16,128,98,0
16,128,99,1
16,128,100,0
16,128,101,1
16,128,102,1
16,128,103,0
16,128,104,0
16,128,105,0
16,128,106,0
16,128,107,0
16,128,108,0
16,128,109,0
16,128,110,0
16,128,111,0
16,128,112,0
16,128,113,0
16,128,114,0
16,128,115,0
16,128,116,1
16,128,117,0
16,128,118,0
16,128,119,0
16,128,120,0
16,128,121,0
16,128,122,0
16,128,123,0
16,128,124,0
16,128,125,0
16,128,126,0
16,128,127,0
16,128,128,1
16,128,129,0
16,128,130,0
16,128,131,1
16,128,132,0
16,128,133,0
16,128,134,0
16,128,135,0
16,128,136,0
16,128,137,0
16,128,138,0
16,128,139,0
16,128,140,0
16,128,141,0
16,128,142,1
16,128,143,1
16,128,144,0
16,128,145,1
16,128,146,1
16,128,147,0
16,128,148,0
16,128,149,0
16,128,150,0
16,128,151,0
16,128,152,0
16,128,153,0
16,128,154,0
16,128,155,1
16,128,156,1
16,128,157,0
16,128,158,1
16,128,159,0
16,128,160,1
16,128,161,1
16,128,162,0
16,128,163,0
16,128,164,0
16,128,165,0
16,128,166,0
16,128,167,0
16,128,168,0
16,128,169,0
16,128,170,0
16,128,171,0
16,128,172,0
16,128,173,1
16,128,174,0
16,128,175,0
16,128,176,1
16,128,177,1
16,128,178,0
16,128,179,1
16,128,180,1
16,128,181,0
16,128,182,1
16,128,183,0
16,128,184,0
16,128,185,0
16,128,186,0
16,128,187,0
16,128,188,0
16,128,189,2
16,128,190,0
16,128,191,1
16,128,192,0
16,128,193,0
16,128,194,0
16,128,195,0
16,128,196,0
16,128,197,0
16,128,198,0
16,128,199,0
16,128,200,0
16,130,1,0
16,130,2,0
16,130,3,0
16,130,4,0
16,130,5,0
16,130,6,0
16,130,7,0
16,130,8,1
16,130,9,0
16,130,10,0
16,130,11,1
16,130,12,0
16,130,13,0
16,130,14,0
16,130,15,0
16,130,16,1
16,130,17,1
16,130,18,0
16,130,19,1
16,130,20,1
16,130,21,0
16,130,22,1
16,130,23,0
16,130,24,0
16,130,25,0
16,130,26,0
16,130,27,0
16,130,28,0
16,130,29,0
16,130,30,0
16,130,31,0
16,130,32,0
16,130,33,0
16,130,34,0
16,130,35,0
16,130,36,0
16,130,37,0
16,130,38,0
16,130,39,1
16,130,40,1
16,130,41,0
16,130,42,0
16,130,43,0
16,130,44,1
16,130,45,0
16,130,46,0
16,130,47,0
16,130,48,0
16,130,49,0
16,130,50,1
16,130,51,0
16,130,52,0
16,130,53,0
16,130,54,0
16,130,55,0
16,130,56,0
16,130,57,0
16,130,58,0
16,130,59,0
16,130,60,0
16,130,61,0
16,130,62,0
16,130,63,1
16,130,64,0
16,130,65,0
16,130,66,0
16,130,67,0
16,130,68,0
16,130,69,1
16,130,70,0
16,130,71,0
16,130,72,0
16,130,73,0
16,130,74,0
16,130,75,0
16,130,76,1
16,130,77,0
16,130,78,0
16,130,79,1
16,130,80,0
16,130,81,1
16,130,82,0
16,130,83,0
16,130,84,0
16,130,85,0
16,130,86,1
16,130,87,0
16,130,88,0
16,130,89,0
16,130,90,1
16,130,91,0
16,130,92,0
16,130,93,0
16,130,94,0
16,130,95,0
16,130,96,0
16,130,97,0
16,130,98,0
16,130,99,1
16,130,100,0
16,130,101,0
16,130,102,1
16,130,103,0
16,130,104,0
16,130,105,0
16,130,106,0
16,130,107,0
16,130,108,0
16,130,109,0
16,130,110,1
16,130,111,0
16,130,112,0
16,130,113,0
16,130,114,0
16,130,115,1
16,130,116,0
16,130,117,1
16,130,118,0
16,130,119,0
16,130,120,0
16,130,121,0
16,130,122,0
16,130,123,0
16,130,124,0
16,130,125,0
16,130,126,1
16,130,127,0
16,130,128,0
16,130,129,0
16,130,130,0
16,130,131,0
16,130,132,1
16,130,133,0
16,130,134,0
16,130,135,0
16,130,136,1
16,130,137,1
16,130,138,0
16,130,139,0
16,130,140,0
16,130,141,1
16,130,142,0
16,130,143,0
16,130,144,1
16,130,145,0
16,130,146,0
16,130,147,0
16,130,148,0
16,130,149,1
16,130,150,0
16,130,151,0
16,130,152,0
16,130,153,0
16,130,154,0
16,130,155,0
16,130,156,1
16,130,157,1
16,130,158,0
16,130,159,1
16,130,160,0
16,130,161,0
16,130,162,0
16,130,163,0
16,130,164,0
16,130,165,0
16,130,166,1
16,130,167,0
16,130,168,0
16,130,169,0
16,130,170,0
16,130,171,0
16,130,172,0
16,130,173,0
16,130,174,0
16,130,175,0
16,130,176,0
16,130,177,1
16,130,178,0
16,130,179,0
16,130,180,0
16,130,181,0
16,130,182,0
16,130,183,0
16,130,184,0
16,130,185,0
16,130,186,1
16,130,187,0
16,130,188,0
16,130,189,1
16,130,190,0
16,130,191,1
16,130,192,1
16,130,193,0
16,130,194,0
16,130,195,0
16,130,196,0
16,130,197,0
16,130,198,1
16,130,199,0
16,130,200,0
16,131,1,0
16,131,2,0
16,131,3,1
16,131,4,0
16,131,5,1
16,131,6,0
16,131,7,0
16,131,8,0
16,131,9,1
16,131,10,0
