N,M,id,E,time(s)
16,128,1,0,0.015936
16,128,2,0,0.017879
16,128,3,0,0.016801
16,128,4,0,0.013711
16,128,5,0,0.016509
16,128,6,0,0.012655
16,128,7,0,0.016708
16,128,8,0,0.014099
16,128,9,0,0.017088
16,128,10,0,0.016679
16,128,11,0,0.016626
16,128,12,0,0.01253
16,128,13,0,0.013545
16,128,14,0,0.01712
16,128,15,0,0.013819
16,128,16,0,0.015696
16,128,17,0,0.01328
16,128,18,0,0.013566
16,128,19,0,0.016897
16,128,20,0,0.013488
16,128,21,0,0.016793
16,128,22,0,0.01657
16,128,23,0,0.015881
16,128,24,0,0.013388
16,128,25,0,0.015731
16,128,26,0,0.013022
16,128,27,0,0.013183
16,128,28,0,0.013926
16,128,29,0,0.013093
16,128,30,0,0.013404
16,128,31,0,0.014577
16,128,32,0,0.016572
16,128,33,0,0.017097
16,128,34,0,0.016423
16,128,35,0,0.017554
16,128,36,0,0.017286
16,128,37,0,0.016507
16,128,38,0,0.01629
16,128,39,0,0.017095
16,128,40,0,0.016888
16,128,41,0,0.012499
16,128,42,0,0.013118
16,128,43,0,0.012577
16,128,44,0,0.016967
16,128,45,0,0.012908
16,128,46,0,0.013237
16,128,47,0,0.014229
16,128,48,0,0.012782
16,128,49,0,0.016512
16,128,50,0,0.016755
16,128,51,0,0.016986
16,128,52,0,0.012742
16,128,53,0,0.013544
16,128,54,0,0.012697
16,128,55,0,0.013479
16,128,56,0,0.013953
16,128,57,0,0.016519
16,128,58,0,0.016322
16,128,59,0,0.013334
16,128,60,0,0.013976
16,128,61,0,0.016874
16,128,62,0,0.015552
16,128,63,0,0.01654
16,128,64,0,0.016482
16,128,65,0,0.016296
16,128,66,0,0.017492
16,128,67,0,0.013389
16,128,68,0,0.017016
16,128,69,0,0.0168
16,128,70,0,0.014816
16,128,71,0,0.016374
16,128,72,0,0.012979
16,128,73,0,0.012872
16,128,74,0,0.013588
16,128,75,0,0.012926
16,128,76,0,0.013061
16,128,77,0,0.017077
16,128,78,0,0.012924
16,128,79,0,0.01684
16,128,80,0,0.016674
16,128,81,0,0.013056
16,128,82,0,0.018384
16,128,83,0,0.013783
16,128,84,0,0.014858
16,128,85,0,0.014008
16,128,86,0,0.013599
16,128,87,0,0.016686
16,128,88,0,0.012931
16,128,89,0,0.017044
16,128,90,0,0.01341
16,128,91,0,0.017343
16,128,92,0,0.016634
16,128,93,0,0.016873
16,128,94,0,0.012602
16,128,95,0,0.012895
16,128,96,0,0.017344
16,128,97,0,0.013092
16,128,98,0,0.013942
16,128,99,0,0.017698
16,128,100,0,0.015862
16,128,101,0,0.014416
16,128,102,0,0.013781
16,128,103,0,0.016712
16,128,104,0,0.017067
16,128,105,0,0.016574
16,128,106,0,0.01656
16,128,107,0,0.014543
16,128,108,0,0.016601
16,128,109,0,0.017881
16,128,110,0,0.01439
16,128,111,0,0.014154
16,128,112,0,0.016537
16,128,113,0,0.016688
16,128,114,0,0.013673
16,128,115,0,0.017841
16,128,116,0,0.013331
16,128,117,0,0.017245
16,128,118,0,0.01748
16,128,119,0,0.017103
16,128,120,0,0.016512
16,128,121,0,0.017524
16,128,122,0,0.016458
16,128,123,0,0.017364
16,128,124,0,0.012834
16,128,125,0,0.014515
16,128,126,0,0.016608
16,128,127,0,0.014396
16,128,128,0,0.013667
16,128,129,0,0.01401
16,128,130,0,0.016488
16,128,131,0,0.016884
16,128,132,0,0.013513
16,128,133,0,0.01654
16,128,134,0,0.014454
16,128,135,0,0.015451
16,128,136,0,0.012932
16,128,137,0,0.014144
16,128,138,0,0.016641
16,128,139,0,0.012696
16,128,140,0,0.016489
16,128,141,0,0.016637
16,128,142,0,0.013341
16,128,143,0,0.016968
16,128,144,0,0.015958
16,128,145,0,0.013951
16,128,146,0,0.013273
16,128,147,0,0.016664
16,128,148,0,0.017468
16,128,149,0,0.016562
16,128,150,0,0.015915
16,128,151,0,0.017021
16,128,152,0,0.016688
16,128,153,0,0.01677
16,128,154,0,0.017529
16,128,155,0,0.017091
16,128,156,0,0.013447
16,128,157,0,0.013753
16,128,158,0,0.016555
16,128,159,0,0.016477
16,128,160,0,0.01695
16,128,161,0,0.016984
16,128,162,0,0.01769
16,128,163,0,0.01701
16,128,164,0,0.014021
16,128,165,0,0.013543
16,128,166,0,0.017599
16,128,167,0,0.018093
16,128,168,0,0.017296
16,128,169,0,0.01657
16,128,170,0,0.016856
16,128,171,0,0.016641
16,128,172,0,0.013302
16,128,173,0,0.017012
16,128,174,0,0.016857
16,128,175,0,0.01686
16,128,176,0,0.017248
16,128,177,0,0.016558
16,128,178,0,0.017196
16,128,179,0,0.016479
16,128,180,0,0.017017
16,128,181,0,0.013033
16,128,182,0,0.014355
16,128,183,0,0.013093
16,128,184,0,0.012733
16,128,185,0,0.017289
16,128,186,0,0.014374
16,128,187,0,0.014275
16,128,188,0,0.016942
16,128,189,0,0.017172
16,128,190,0,0.012316
16,128,191,0,0.01689
16,128,192,0,0.016819
16,128,193,0,0.016825
16,128,194,0,0.013138
16,128,195,0,0.014153
16,128,196,0,0.012108
16,128,197,0,0.016557
16,128,198,0,0.016695
16,128,199,0,0.013349
16,128,200,0,0.016771
16,130,1,0,0.01394
16,130,2,0,0.012858
16,130,3,0,0.01368
16,130,4,0,0.012972
16,130,5,0,0.012389
16,130,6,0,0.012603
16,130,7,0,0.01733
16,130,8,0,0.013177
16,130,9,0,0.01355
16,130,10,0,0.017373
16,130,11,0,0.01299
16,130,12,0,0.013325
16,130,13,0,0.016943
16,130,14,0,0.01301
16,130,15,0,0.014442
16,130,16,0,0.016544
16,130,17,0,0.014028
16,130,18,0,0.012671
16,130,19,0,0.013436
16,130,20,0,0.013289
16,130,21,0,0.012998
16,130,22,0,0.013334
16,130,23,0,0.013526
16,130,24,0,0.014307
16,130,25,0,0.013935
16,130,26,0,0.012764
16,130,27,0,0.012582
16,130,28,0,0.012582
16,130,29,0,0.013924
16,130,30,0,0.013694
16,130,31,0,0.014199
16,130,32,0,0.016667
16,130,33,0,0.01329
16,130,34,0,0.012763
16,130,35,0,0.013294
16,130,36,0,0.016588
16,130,37,0,0.012655
16,130,38,0,0.012733
16,130,39,0,0.012933
16,130,40,0,0.013567
16,130,41,0,0.016607
16,130,42,0,0.01254
16,130,43,0,0.017155
16,130,44,1,0.053303
16,130,45,0,0.013163
16,130,46,0,0.012341
16,130,47,0,0.012288
16,130,48,0,0.016763
16,130,49,0,0.012412
16,130,50,1,0.05459
16,130,51,0,0.012481
16,130,52,0,0.013261
16,130,53,0,0.016787
16,130,54,0,0.012916
16,130,55,0,0.013477
16,130,56,0,0.014264
16,130,57,0,0.016416
16,130,58,0,0.012604
16,130,59,0,0.012935
16,130,60,0,0.012588
16,130,61,0,0.013376
16,130,62,0,0.013222
16,130,63,0,0.012686
16,130,64,0,0.012805
16,130,65,0,0.016888
16,130,66,0,0.017086
16,130,67,0,0.013234
16,130,68,0,0.0129
16,130,69,0,0.016853
16,130,70,0,0.016779
16,130,71,0,0.017129
16,130,72,0,0.012803
16,130,73,0,0.014193
16,130,74,0,0.01247
16,130,75,0,0.013334
16,130,76,0,0.013906
16,130,77,0,0.013053
16,130,78,0,0.013036
16,130,79,0,0.014764
16,130,80,0,0.013081
16,130,81,0,0.016549
16,130,82,0,0.013305
16,130,83,0,0.013024
16,130,84,0,0.012653
16,130,85,0,0.012443
16,130,86,0,0.012822
16,130,87,0,0.012169
16,130,88,0,0.013866
16,130,89,0,0.016474
16,130,90,0,0.012914
16,130,91,0,0.016365
16,130,92,0,0.016402
16,130,93,0,0.01259
16,130,94,0,0.016343
16,130,95,0,0.012813
16,130,96,0,0.01675
16,130,97,0,0.01353
16,130,98,0,0.013201
16,130,99,0,0.016841
16,130,100,0,0.012858
16,130,101,0,0.01322
16,130,102,0,0.013285
16,130,103,0,0.012583
16,130,104,0,0.014062
16,130,105,0,0.013123
16,130,106,0,0.01415
16,130,107,0,0.013079
16,130,108,0,0.013168
16,130,109,0,0.016713
16,130,110,0,0.016746
16,130,111,0,0.016835
16,130,112,0,0.013595
16,130,113,0,0.012316
16,130,114,0,0.016992
16,130,115,0,0.013417
16,130,116,0,0.0165
16,130,117,1,0.051081
16,130,118,0,0.013433
16,130,119,0,0.013345
16,130,120,0,0.012975
16,130,121,0,0.014339
16,130,122,0,0.017243
16,130,123,0,0.014318
16,130,124,0,0.013024
16,130,125,0,0.013823
16,130,126,0,0.013534
16,130,127,0,0.014418
16,130,128,0,0.013261
16,130,129,0,0.012668
16,130,130,0,0.013017
16,130,131,0,0.016343
16,130,132,0,0.013221
16,130,133,0,0.012967
16,130,134,0,0.015083
16,130,135,0,0.013004
16,130,136,0,0.017171
16,130,137,0,0.013939
16,130,138,0,0.013169
16,130,139,0,0.013669
16,130,140,0,0.01664
16,130,141,0,0.012849
16,130,142,0,0.013473
16,130,143,0,0.016592
16,130,144,0,0.015241
16,130,145,0,0.013474
16,130,146,0,0.013333
16,130,147,0,0.012432
16,130,148,0,0.012923
16,130,149,0,0.014913
16,130,150,0,0.016333
16,130,151,0,0.013427
16,130,152,0,0.016609
16,130,153,0,0.014388
16,130,154,0,0.017379
16,130,155,0,0.013401
16,130,156,0,0.01627
16,130,157,0,0.012952
16,130,158,0,0.014401
16,130,159,0,0.01486
16,130,160,0,0.014128
16,130,161,0,0.016921
16,130,162,0,0.012717
16,130,163,0,0.01267
16,130,164,0,0.012817
16,130,165,0,0.012822
16,130,166,0,0.012936
16,130,167,0,0.012644
16,130,168,0,0.013878
16,130,169,0,0.012509
16,130,170,0,0.016586
16,130,171,0,0.016327
16,130,172,0,0.013106
16,130,173,0,0.012471
16,130,174,0,0.012809
16,130,175,0,0.012819
16,130,176,0,0.014227
16,130,177,0,0.012981
16,130,178,0,0.012818
16,130,179,0,0.01508
16,130,180,0,0.016845
16,130,181,0,0.013728
16,130,182,0,0.013803
16,130,183,0,0.01599
16,130,184,0,0.013224
16,130,185,0,0.017302
16,130,186,0,0.013168
16,130,187,0,0.01637
16,130,188,0,0.012667
16,130,189,1,0.048692
16,130,190,0,0.015258
16,130,191,0,0.017125
16,130,192,0,0.012888
16,130,193,0,0.016637
16,130,194,0,0.013577
16,130,195,0,0.013947
16,130,196,0,0.012492
16,130,197,0,0.0127
16,130,198,0,0.013117
16,130,199,0,0.013539
16,130,200,0,0.013168
16,131,1,0,0.012698
16,131,2,0,0.016378
16,131,3,0,0.017821
16,131,4,0,0.012681
16,131,5,0,0.015303
16,131,6,0,0.012763
16,131,7,0,0.014146
16,131,8,0,0.013538
16,131,9,0,0.013411
16,131,10,0,0.012296
16,131,11,0,0.014221
16,131,12,0,0.013096
16,131,13,0,0.017764
16,131,14,0,0.013678
16,131,15,0,0.01364
16,131,16,0,0.018201
16,131,17,0,0.013359
16,131,18,0,0.016519
16,131,19,0,0.016407
16,131,20,0,0.012645
16,131,21,0,0.012307
16,131,22,0,0.012424
16,131,23,0,0.012462
16,131,24,0,0.013613
16,131,25,0,0.013226
16,131,26,0,0.016906
16,131,27,0,0.016318
16,131,28,0,0.012856
16,131,29,0,0.012792
16,131,30,0,0.013575
16,131,31,0,0.012784
16,131,32,0,0.013081
16,131,33,0,0.013955
16,131,34,0,0.014376
16,131,35,0,0.013678
16,131,36,0,0.01644
16,131,37,0,0.012858
16,131,38,0,0.016627
